site,dt,price
C,29/05/2016 10:15,531.8028869
C,29/05/2016 10:30,533.2862229
C,29/05/2016 10:45,532.9726253
C,29/05/2016 11:00,535.4232562
C,29/05/2016 11:15,533.7796002
C,29/05/2016 11:30,533.8617514
C,29/05/2016 11:45,535.6279909
C,29/05/2016 12:00,537.037182
C,29/05/2016 12:15,537.6716426
C,29/05/2016 12:30,535.3037722
C,29/05/2016 12:45,535.9820629
C,29/05/2016 13:00,535.6803759
C,29/05/2016 13:15,535.629936
C,29/05/2016 13:30,536.0423345
C,29/05/2016 13:45,533.0337716
C,29/05/2016 14:00,530.0132012
C,29/05/2016 14:15,528.9393214
C,29/05/2016 14:30,526.6451423
C,29/05/2016 14:45,525.6312847
C,29/05/2016 15:00,525.1496452
C,29/05/2016 15:15,524.6734262
C,29/05/2016 15:30,526.2457074
C,29/05/2016 15:45,528.8429215
C,29/05/2016 16:00,531.5317897
C,29/05/2016 16:15,531.4066623
C,29/05/2016 16:30,532.3768153
C,29/05/2016 16:45,531.2293846
C,29/05/2016 17:00,532.7586889
C,29/05/2016 17:15,532.264773
C,29/05/2016 17:30,533.3254262
C,29/05/2016 17:45,533.8228427
C,29/05/2016 18:00,534.4883864
C,29/05/2016 18:15,533.0441546
C,29/05/2016 18:30,534.1371114
C,29/05/2016 18:45,536.4774685
C,29/05/2016 19:00,535.3969916
C,29/05/2016 19:15,537.7374533
C,29/05/2016 19:30,538.1231728
C,29/05/2016 19:45,537.4536113
C,29/05/2016 20:00,536.8621689
C,29/05/2016 20:15,537.2345057
C,29/05/2016 20:30,539.1938906
C,29/05/2016 20:45,538.4000048
C,29/05/2016 21:00,538.3809471
C,29/05/2016 21:15,537.4504115
C,29/05/2016 21:30,537.8934216
C,29/05/2016 21:45,536.2850209
C,29/05/2016 22:00,537.10143
C,29/05/2016 22:15,538.290198
C,29/05/2016 22:30,537.7509147
C,29/05/2016 22:45,537.3085946
C,29/05/2016 23:00,535.4323737
C,29/05/2016 23:15,535.2058517
C,29/05/2016 23:30,535.4213295
C,29/05/2016 23:45,532.6335646
C,30/05/2016 00:00,532.7011355
C,30/05/2016 00:15,533.046902
C,30/05/2016 00:30,533.201982
C,30/05/2016 00:45,533.6185599
C,30/05/2016 01:00,532.8733177
C,30/05/2016 01:15,531.4444006
C,30/05/2016 01:30,532.2802281
C,30/05/2016 01:45,533.2109254
C,30/05/2016 02:00,534.957622
C,30/05/2016 02:15,536.2281069
C,30/05/2016 02:30,535.5669071
C,30/05/2016 02:45,534.0053924
C,30/05/2016 03:00,533.359895
C,30/05/2016 03:15,532.4561707
C,30/05/2016 03:30,531.450394
C,30/05/2016 03:45,529.1751327
C,30/05/2016 04:00,528.1916398
C,30/05/2016 04:15,529.4976593
C,30/05/2016 04:30,529.1447159
C,30/05/2016 04:45,529.2310819
C,30/05/2016 05:00,527.0981939
C,30/05/2016 05:15,526.5615238
C,30/05/2016 05:30,525.3350631
C,30/05/2016 05:45,527.7489277
C,30/05/2016 06:00,528.5725581
C,30/05/2016 06:15,530.7840557
C,30/05/2016 06:30,528.6980781
C,30/05/2016 06:45,528.81041
C,30/05/2016 07:00,528.9263769
C,30/05/2016 07:15,528.895113
C,30/05/2016 07:30,527.449361
C,30/05/2016 07:45,528.5729075
C,30/05/2016 08:00,527.6145192
C,30/05/2016 08:15,527.0488239
C,30/05/2016 08:30,526.8199611
C,30/05/2016 08:45,523.9893422
C,30/05/2016 09:00,523.2093967
C,30/05/2016 09:15,523.4656446
C,30/05/2016 09:30,523.1120497
C,30/05/2016 09:45,525.5552898
C,30/05/2016 10:00,524.6354974
C,30/05/2016 10:15,522.3541567
C,30/05/2016 10:30,522.6319615
C,30/05/2016 10:45,523.7062841
C,30/05/2016 11:00,521.6487901
C,30/05/2016 11:15,523.0760688
C,30/05/2016 11:30,521.6912926
C,30/05/2016 11:45,521.366081
C,30/05/2016 12:00,522.6603775
C,30/05/2016 12:15,519.5293301
C,30/05/2016 12:30,522.5732256
C,30/05/2016 12:45,522.5295291
C,30/05/2016 13:00,522.6140243
C,30/05/2016 13:15,522.1766661
C,30/05/2016 13:30,519.4788278
C,30/05/2016 13:45,520.1659406
C,30/05/2016 14:00,518.628274
C,30/05/2016 14:15,517.4128992
C,30/05/2016 14:30,515.4959282
C,30/05/2016 14:45,517.4514989
C,30/05/2016 15:00,518.026674
C,30/05/2016 15:15,519.3335824
C,30/05/2016 15:30,520.136589
C,30/05/2016 15:45,519.4963134
C,30/05/2016 16:00,518.2031343
